Trust_Event_Id,Frame_Id,Event_Id,Trustee,Trustor,Is_One_Hop,Event_Type,Has_Dropped,Has_Modified,MDR,MMR,Type_MMR,Type_MDR
212,9,21,8,6,1,3,0,0,0,0,0,0
213,9,21,8,9,1,3,0,0,0,0,0,0
214,9,21,8,26,1,3,0,0,0,0,0,0
215,9,21,8,28,1,3,0,0,0,0,0,0
216,9,21,5,12,1,3,0,0,14.2857142857143,0,0,20
217,9,21,5,34,1,3,0,0,14.2857142857143,0,0,20
218,9,21,5,39,1,3,0,0,14.2857142857143,0,0,20
219,9,21,6,1,1,3,0,0,0,0,0,0
220,9,21,9,1,1,3,0,0,0,0,0,0
221,9,21,9,11,1,3,0,0,0,0,0,0
222,9,21,26,1,1,3,0,0,0,0,0,0
223,9,21,26,11,1,3,0,0,0,0,0,0
224,9,21,8,1,0,3,0,0,0,0,0,0
225,9,21,8,11,0,3,0,0,0,0,0,0
226,9,21,8,12,0,3,0,0,0,0,0,0
227,9,21,8,34,0,3,0,0,0,0,0,0
228,9,21,8,39,0,3,0,0,0,0,0,0
229,9,22,26,1,1,3,0,0,0,0,0,0
230,9,22,26,6,1,3,0,0,0,0,0,0
231,9,22,26,8,1,3,0,0,0,0,0,0
232,9,22,26,9,1,3,0,0,0,0,0,0
233,9,22,26,11,1,3,0,0,0,0,0,0
234,9,22,26,28,1,3,0,0,0,0,0,0
235,9,22,1,25,1,3,0,0,0,0,0,0
236,9,22,8,4,1,3,0,0,0,0,0,0
237,9,22,8,5,1,3,0,0,0,0,0,0
238,9,22,11,25,1,3,0,0,0,0,0,0
239,9,22,28,4,1,3,0,0,0,5.26315789473684,16.6666666666667,0
240,9,22,28,5,1,3,0,0,0,5.26315789473684,16.6666666666667,0
241,9,22,26,4,0,3,0,0,0,0,0,0
242,9,22,26,5,0,3,0,0,0,0,0,0
243,9,22,26,25,0,3,0,0,0,0,0,0
244,10,23,5,4,1,1,0,0,12.5,0,0,12.5
245,10,23,5,8,1,1,0,0,12.5,0,0,12.5
246,10,23,5,12,1,1,0,0,12.5,0,0,12.5
247,10,23,5,28,1,1,0,0,12.5,0,0,12.5
248,10,23,5,34,1,1,0,0,12.5,0,0,12.5
249,10,23,5,39,1,1,0,0,12.5,0,0,12.5
250,10,23,4,9,1,1,0,0,0,0,0,0
251,10,23,8,6,1,1,0,0,0,0,0,0
252,10,23,8,9,1,1,0,0,0,0,0,0
253,10,23,8,26,1,1,0,0,0,0,0,0
254,10,23,28,6,1,1,0,0,0,12.5,6.25,0
255,10,23,28,9,1,1,0,1,0,12.5,6.25,0
256,10,23,28,26,1,1,0,0,0,12.5,6.25,0
257,10,23,5,6,0,1,0,0,12.5,0,0,12.5
258,10,23,5,9,0,1,0,0,12.5,0,0,12.5
259,10,23,5,26,0,1,0,0,12.5,0,0,12.5
260,10,24,8,4,1,3,0,0,0,0,0,0
261,10,24,8,5,1,3,0,0,0,0,0,0
262,10,24,8,6,1,3,0,0,0,0,0,0
263,10,24,8,9,1,3,0,0,0,0,0,0
264,10,24,8,26,1,3,0,0,0,0,0,0
265,10,24,8,28,1,3,0,0,0,0,0,0
266,10,24,5,12,1,3,0,0,12.5,0,0,16.6666666666667
267,10,24,5,34,1,3,0,0,12.5,0,0,16.6666666666667
268,10,24,5,39,1,3,0,0,12.5,0,0,16.6666666666667
269,10,24,6,1,1,3,0,0,0,0,0,0
270,10,24,9,1,1,3,0,0,0,0,0,0
271,10,24,9,11,1,3,0,0,0,0,0,0
272,10,24,26,1,1,3,0,0,0,0,0,0
273,10,24,26,11,1,3,0,0,0,0,0,0
274,10,24,8,1,0,3,0,0,0,0,0,0
275,10,24,8,11,0,3,0,0,0,0,0,0
276,10,24,8,12,0,3,0,0,0,0,0,0
277,10,24,8,34,0,3,0,0,0,0,0,0
278,10,24,8,39,0,3,0,0,0,0,0,0
279,10,25,26,1,1,3,0,0,0,0,0,0
280,10,25,26,6,1,3,0,0,0,0,0,0
281,10,25,26,8,1,3,0,0,0,0,0,0
282,10,25,26,9,1,3,0,0,0,0,0,0
283,10,25,26,11,1,3,0,0,0,0,0,0
284,10,25,26,28,1,3,0,0,0,0,0,0
285,10,25,1,25,1,3,0,0,0,0,0,0
286,10,25,8,4,1,3,0,0,0,0,0,0
287,10,25,8,5,1,3,0,0,0,0,0,0
288,10,25,9,4,1,3,0,0,0,0,0,0
289,10,25,11,25,1,3,0,0,0,0,0,0
290,10,25,28,4,1,3,0,1,0,12.5,25,0
291,10,25,28,5,1,3,0,0,0,12.5,25,0
292,10,25,26,4,0,3,0,0,0,0,0,0
293,10,25,26,5,0,3,0,0,0,0,0,0
294,10,25,26,25,0,3,0,0,0,0,0,0
295,11,26,5,4,1,1,1,0,22.2222222222222,0,0,22.2222222222222
296,11,26,5,8,1,1,1,0,22.2222222222222,0,0,22.2222222222222
297,11,26,5,12,1,1,1,0,22.2222222222222,0,0,22.2222222222222
298,11,26,5,28,1,1,1,0,22.2222222222222,0,0,22.2222222222222
299,11,26,5,34,1,1,1,0,22.2222222222222,0,0,22.2222222222222
300,11,26,5,39,1,1,1,0,22.2222222222222,0,0,22.2222222222222
301,11,26,4,9,1,1,0,0,0,0,0,0
302,11,26,8,6,1,1,0,0,0,0,0,0
303,11,26,8,9,1,1,0,0,0,0,0,0
304,11,26,8,26,1,1,0,0,0,0,0,0
305,11,26,28,6,1,1,0,0,0,13.7931034482759,5.26315789473684,0
306,11,26,28,9,1,1,0,0,0,13.7931034482759,5.26315789473684,0
307,11,26,28,26,1,1,0,0,0,13.7931034482759,5.26315789473684,0
308,11,26,5,6,0,1,1,0,22.2222222222222,0,0,22.2222222222222
309,11,26,5,9,0,1,1,0,22.2222222222222,0,0,22.2222222222222
310,11,26,5,26,0,1,1,0,22.2222222222222,0,0,22.2222222222222
311,11,27,8,4,1,3,0,0,0,0,0,0
312,11,27,8,5,1,3,0,0,0,0,0,0
313,11,27,8,6,1,3,0,0,0,0,0,0
314,11,27,8,9,1,3,0,0,0,0,0,0
315,11,27,8,26,1,3,0,0,0,0,0,0
316,11,27,8,28,1,3,0,0,0,0,0,0
317,11,27,5,12,1,3,1,0,22.2222222222222,0,0,28.5714285714286
318,11,27,5,34,1,3,1,0,22.2222222222222,0,0,28.5714285714286
319,11,27,5,39,1,3,1,0,22.2222222222222,0,0,28.5714285714286
320,11,27,6,1,1,3,0,0,0,0,0,0
321,11,27,9,1,1,3,0,0,0,0,0,0
322,11,27,9,11,1,3,0,0,0,0,0,0
323,11,27,26,1,1,3,0,0,0,0,0,0
324,11,27,26,11,1,3,0,0,0,0,0,0
325,11,27,8,1,0,3,0,0,0,0,0,0
326,11,27,8,11,0,3,0,0,0,0,0,0
327,11,27,8,12,0,3,0,0,0,0,0,0
328,11,27,8,34,0,3,0,0,0,0,0,0
329,11,27,8,39,0,3,0,0,0,0,0,0
330,11,28,26,1,1,3,0,0,0,0,0,0
331,11,28,26,6,1,3,0,0,0,0,0,0
332,11,28,26,8,1,3,0,0,0,0,0,0
333,11,28,26,9,1,3,0,0,0,0,0,0
334,11,28,26,11,1,3,0,0,0,0,0,0
335,11,28,26,28,1,3,0,0,0,0,0,0
336,11,28,1,25,1,3,0,0,0,0,0,0
337,11,28,8,4,1,3,0,0,0,0,0,0
338,11,28,8,5,1,3,0,0,0,0,0,0
339,11,28,9,4,1,3,0,0,0,0,0,0
340,11,28,11,25,1,3,0,0,0,0,0,0
341,11,28,28,4,1,3,0,1,0,13.7931034482759,30,0
342,11,28,28,5,1,3,0,0,0,13.7931034482759,30,0
343,11,28,26,4,0,3,0,0,0,0,0,0
344,11,28,26,5,0,3,0,0,0,0,0,0
345,11,28,26,25,0,3,0,0,0,0,0,0
346,12,29,5,4,1,1,0,0,20,0,0,20
347,12,29,5,8,1,1,0,0,20,0,0,20
348,12,29,5,12,1,1,0,0,20,0,0,20
349,12,29,5,28,1,1,0,0,20,0,0,20
350,12,29,5,34,1,1,0,0,20,0,0,20
351,12,29,5,39,1,1,0,0,20,0,0,20
352,12,29,4,9,1,1,0,0,0,0,0,0
353,12,29,8,6,1,1,0,0,0,0,0,0
354,12,29,8,9,1,1,0,0,0,0,0,0
355,12,29,8,26,1,1,0,0,0,0,0,0
356,12,29,28,6,1,1,0,0,0,12.5,4.54545454545455,0
357,12,29,28,9,1,1,0,0,0,12.5,4.54545454545455,0
358,12,29,28,26,1,1,0,0,0,12.5,4.54545454545455,0
359,12,29,5,6,0,1,0,0,20,0,0,20
360,12,29,5,9,0,1,0,0,20,0,0,20
361,12,29,5,26,0,1,0,0,20,0,0,20
362,12,30,8,4,1,3,0,0,0,0,0,0
363,12,30,8,5,1,3,0,0,0,0,0,0
364,12,30,8,6,1,3,0,0,0,0,0,0
365,12,30,8,9,1,3,0,0,0,0,0,0
366,12,30,8,26,1,3,0,0,0,0,0,0
367,12,30,8,28,1,3,0,0,0,0,0,0
368,12,30,5,12,1,3,0,0,20,0,0,25
369,12,30,5,34,1,3,0,0,20,0,0,25
370,12,30,5,39,1,3,0,0,20,0,0,25
371,12,30,6,1,1,3,0,0,0,0,0,0
372,12,30,9,1,1,3,0,0,0,0,0,0
373,12,30,9,11,1,3,0,0,0,0,0,0
374,12,30,26,1,1,3,0,0,0,0,0,0
375,12,30,26,11,1,3,0,0,0,0,0,0
376,12,30,8,1,0,3,0,0,0,0,0,0
377,12,30,8,11,0,3,0,0,0,0,0,0
378,12,30,8,12,0,3,0,0,0,0,0,0
379,12,30,8,34,0,3,0,0,0,0,0,0
380,12,30,8,39,0,3,0,0,0,0,0,0
381,13,31,5,4,1,1,0,0,18.1818181818182,0,0,18.1818181818182
382,13,31,5,8,1,1,0,0,18.1818181818182,0,0,18.1818181818182
383,13,31,5,12,1,1,0,0,18.1818181818182,0,0,18.1818181818182
384,13,31,5,28,1,1,0,0,18.1818181818182,0,0,18.1818181818182
385,13,31,5,34,1,1,0,0,18.1818181818182,0,0,18.1818181818182
386,13,31,5,39,1,1,0,0,18.1818181818182,0,0,18.1818181818182
387,13,31,4,9,1,1,0,0,0,0,0,0
388,13,31,8,6,1,1,0,0,0,0,0,0
389,13,31,8,9,1,1,0,0,0,0,0,0
390,13,31,8,26,1,1,0,0,0,0,0,0
391,13,31,28,6,1,1,0,0,0,11.4285714285714,4,0
392,13,31,28,9,1,1,0,0,0,11.4285714285714,4,0
393,13,31,28,26,1,1,0,0,0,11.4285714285714,4,0
394,13,31,5,6,0,1,0,0,18.1818181818182,0,0,18.1818181818182
395,13,31,5,9,0,1,0,0,18.1818181818182,0,0,18.1818181818182
396,13,31,5,26,0,1,0,0,18.1818181818182,0,0,18.1818181818182
397,13,32,12,5,1,3,0,0,0,0,0,0
398,13,32,12,34,1,3,0,0,0,0,0,0
399,13,32,12,39,1,3,0,0,0,0,0,0
400,13,32,5,4,1,3,0,0,18.1818181818182,0,0,22.2222222222222
401,13,32,5,8,1,3,0,0,18.1818181818182,0,0,22.2222222222222
402,13,32,5,28,1,3,0,0,18.1818181818182,0,0,22.2222222222222
403,13,32,12,4,0,3,0,0,0,0,0,0
404,13,32,12,8,0,3,0,0,0,0,0,0
405,13,32,12,28,0,3,0,0,0,0,0,0
406,14,33,5,4,1,1,0,0,16.6666666666667,0,0,16.6666666666667
407,14,33,5,8,1,1,0,0,16.6666666666667,0,0,16.6666666666667
408,14,33,5,12,1,1,0,0,16.6666666666667,0,0,16.6666666666667
409,14,33,5,28,1,1,0,0,16.6666666666667,0,0,16.6666666666667
410,14,33,5,34,1,1,0,0,16.6666666666667,0,0,16.6666666666667
411,14,33,5,39,1,1,0,0,16.6666666666667,0,0,16.6666666666667
412,14,33,4,9,1,1,0,0,0,0,0,0
413,14,33,8,6,1,1,0,0,0,0,0,0
414,14,33,8,9,1,1,0,0,0,0,0,0
415,14,33,8,26,1,1,0,0,0,0,0,0
416,14,33,28,6,1,1,0,0,0,13.1578947368421,7.14285714285714,0
417,14,33,28,9,1,1,0,0,0,13.1578947368421,7.14285714285714,0
418,14,33,28,26,1,1,0,1,0,13.1578947368421,7.14285714285714,0
419,14,33,5,6,0,1,0,0,16.6666666666667,0,0,16.6666666666667
420,14,33,5,9,0,1,0,0,16.6666666666667,0,0,16.6666666666667
421,14,33,5,26,0,1,0,0,16.6666666666667,0,0,16.6666666666667
422,14,34,12,5,1,3,0,0,0,0,0,0
423,14,34,12,34,1,3,0,0,0,0,0,0
424,14,34,12,39,1,3,0,0,0,0,0,0
425,14,34,5,4,1,3,0,0,16.6666666666667,0,0,20
426,14,34,5,8,1,3,0,0,16.6666666666667,0,0,20
427,14,34,5,28,1,3,0,0,16.6666666666667,0,0,20
428,14,34,12,4,0,3,0,0,0,0,0,0
429,14,34,12,8,0,3,0,0,0,0,0,0
430,14,34,12,28,0,3,0,0,0,0,0,0
431,15,35,5,4,1,1,0,0,15.3846153846154,0,0,15.3846153846154
432,15,35,5,8,1,1,0,0,15.3846153846154,0,0,15.3846153846154
433,15,35,5,12,1,1,0,0,15.3846153846154,0,0,15.3846153846154
434,15,35,5,28,1,1,0,0,15.3846153846154,0,0,15.3846153846154
435,15,35,5,34,1,1,0,0,15.3846153846154,0,0,15.3846153846154
436,15,35,5,39,1,1,0,0,15.3846153846154,0,0,15.3846153846154
437,15,35,4,9,1,1,0,0,0,0,0,0
438,15,35,4,26,1,1,0,0,0,0,0,0
439,15,35,8,6,1,1,0,0,0,0,0,0
440,15,35,8,9,1,1,0,0,0,0,0,0
441,15,35,8,26,1,1,0,0,0,0,0,0
442,15,35,28,6,1,1,0,1,0,13.953488372093,9.67741935483871,0
443,15,35,28,9,1,1,0,0,0,13.953488372093,9.67741935483871,0
444,15,35,28,26,1,1,0,0,0,13.953488372093,9.67741935483871,0
445,15,35,5,6,0,1,0,0,15.3846153846154,0,0,15.3846153846154
446,15,35,5,9,0,1,0,0,15.3846153846154,0,0,15.3846153846154
447,15,35,5,26,0,1,0,0,15.3846153846154,0,0,15.3846153846154
448,15,36,4,5,1,3,0,0,0,0,0,0
449,15,36,4,8,1,3,0,0,0,0,0,0
450,15,36,4,9,1,3,0,0,0,0,0,0
451,15,36,4,26,1,3,0,0,0,0,0,0
452,15,36,4,28,1,3,0,0,0,0,0,0
453,15,36,5,12,1,3,0,0,15.3846153846154,0,0,18.1818181818182
454,15,36,5,34,1,3,0,0,15.3846153846154,0,0,18.1818181818182
455,15,36,5,39,1,3,0,0,15.3846153846154,0,0,18.1818181818182
456,15,36,8,6,1,3,0,0,0,0,0,0
457,15,36,9,1,1,3,0,0,0,0,0,0
458,15,36,9,6,1,3,0,0,0,0,0,0
459,15,36,9,11,1,3,0,0,0,0,0,0
460,15,36,26,1,1,3,0,0,0,0,0,0
461,15,36,26,6,1,3,0,0,0,0,0,0
462,15,36,26,11,1,3,0,0,0,0,0,0
463,15,36,28,6,1,3,0,0,0,13.953488372093,25,0
464,15,36,28,34,1,3,0,0,0,13.953488372093,25,0
465,15,36,4,1,0,3,0,0,0,0,0,0
466,15,36,4,6,0,3,0,0,0,0,0,0
467,15,36,4,11,0,3,0,0,0,0,0,0
468,15,36,4,12,0,3,0,0,0,0,0,0
469,15,36,4,34,0,3,0,0,0,0,0,0
470,15,36,4,39,0,3,0,0,0,0,0,0
471,15,37,12,5,1,3,0,0,0,0,0,0
472,15,37,12,34,1,3,0,0,0,0,0,0
473,15,37,12,39,1,3,0,0,0,0,0,0
474,15,37,5,4,1,3,0,0,15.3846153846154,0,0,18.1818181818182
475,15,37,5,8,1,3,0,0,15.3846153846154,0,0,18.1818181818182
476,15,37,5,28,1,3,0,0,15.3846153846154,0,0,18.1818181818182
